value,unit,rawValue
161.4709921567,degrees,4.48530533768731
157.7135532701,degrees,4.3809320352794
177.9729606006,degrees,4.94369335001679
176.5337076937,degrees,4.90371410260323
165.9205908383,degrees,4.6089053010651
165.9755241554,degrees,4.6104312265389
158.9330729087,degrees,4.41480758079775
157.7135532701,degrees,4.3809320352794
158.7023529771,degrees,4.40839869380779
157.2191534165,degrees,4.3671987060152
153.4177678762,degrees,4.26160466322825
147.4190496536,degrees,4.0949736014893
152.0993682669,degrees,4.22498245185705
147.0125431074,degrees,4.08368175298318
120.5566576128,degrees,3.34879604480117
127.1156956694,degrees,3.53099154637288
127.6540421766,degrees,3.54594561601611
74.5335245827,degrees,2.07037568285165
92.2000793481,degrees,2.56111331522568
89.3435468612,degrees,2.48176519058809
46.47358623,degrees,1.29093295083468
72.4240852077,degrees,2.01178014465774
65.2278206732,degrees,1.81188390758995
110.5587939085,degrees,3.0710776085696
134.3559068575,degrees,3.7321085238197
87.629627369,degrees,2.43415631580554
72.9624317148,degrees,2.02673421430097
137.6079592273,degrees,3.82244331186865
48.6489455855,degrees,1.35135959959716
193.6838892788,degrees,5.38010803552354
167.5795770135,degrees,4.65498825037385
230.9286782434,degrees,6.41468550675985
196.4415417951,degrees,5.4567094943083
186.5315713981,degrees,5.1814325388348
193.4861293374,degrees,5.37461470381787
216.0307626576,degrees,6.00085451826533
199.056367687,degrees,5.52934354686117
188.0587176122,degrees,5.22385326700644
164.0968047121,degrees,4.55824457533494
193.7607959227,degrees,5.38224433118687
158.9330729087,degrees,4.41480758079775
153.0002746666,degrees,4.25000762962737
171.5128025147,degrees,4.76424451429792
188.4981841487,degrees,5.23606067079684
190.4757835627,degrees,5.29099398785363
125.0282296213,degrees,3.47300637836848
155.7799005097,degrees,4.32721945860164
142.0905178991,degrees,3.94695883053072
159.4274727622,degrees,4.42854091006195
165.404217658,degrees,4.59456160161138
226.1604663228,degrees,6.28223517563402
200.0781273843,degrees,5.55772576067385
214.305856502,degrees,5.95294045838801
219.3597216712,degrees,6.0933256019776
236.2572099979,degrees,6.56270027771844
226.9075594348,degrees,6.3029877620777
211.2515640736,degrees,5.86809900204474
231.9833979308,degrees,6.44398327585681
219.4586016419,degrees,6.09607226783044
215.4594561602,degrees,5.98498489333781
241.6956083865,degrees,6.71376689962462
195.8592486343,degrees,5.44053468428602
187.3885311441,degrees,5.20523697622608
185.7075716422,degrees,5.15854365672781
207.0656453139,degrees,5.75182348094119
198.0126346629,degrees,5.50035096285897
201.2866603595,degrees,5.59129612109745
203.7806329539,degrees,5.66057313760796
198.2763145848,degrees,5.50767540513321
197.4962614826,degrees,5.48600726340526
177.9729606006,degrees,4.94369335001679
174.2594683676,degrees,4.84054078798791
165.1295510727,degrees,4.58693197424238
161.9653920103,degrees,4.49903866695151
174.457228309,degrees,4.84603411969359
185.6965849788,degrees,5.15823847163305
185.4219183935,degrees,5.15060884426405
182.57637257,degrees,5.07156590472121
180.8294930876,degrees,5.02304147465438
180.8294930876,degrees,5.02304147465438
183.7079989013,degrees,5.10299996948149
169.491256447,degrees,4.70809045686209
176.2590411084,degrees,4.89608447523423
178.544267098,degrees,4.9595629749443
185.3999450667,degrees,5.14999847407453
190.4757835627,degrees,5.29099398785363
198.5509811701,degrees,5.51530503250221
193.4971160009,degrees,5.37491988891263
195.6505020295,degrees,5.43473616748558
188.8058107242,degrees,5.24460585345012
185.1252784814,degrees,5.14236884670553
164.8658711509,degrees,4.57960753196814
166.4809106723,degrees,4.62446974089785
170.425122837,degrees,4.73403118991668
159.1967528306,degrees,4.42213202307199
159.1857661672,degrees,4.42182683797723
158.4386730552,degrees,4.40107425153356
150.1217688528,degrees,4.17004913480026
149.2648091067,degrees,4.14624469740898
150.5941953795,degrees,4.18317209387494
149.5065157018,degrees,4.1529587694937
146.6170232246,degrees,4.07269508957183
141.4093447676,degrees,3.9280373546556
148.4517960143,degrees,4.12366100039674
145.639210181,degrees,4.04553361613819
154.1428876614,degrees,4.28174687948241
175.4020813623,degrees,4.87228003784295
160.9656056398,degrees,4.47126682332835
158.6803796503,degrees,4.40778832361827
164.6131778924,degrees,4.57258827478866
161.9873653371,degrees,4.49964903714103
136.5642262032,degrees,3.79345072786645
158.7023529771,degrees,4.40839869380779
205.2198858608,degrees,5.70055238502152
197.4962614826,degrees,5.48600726340526
198.0126346629,degrees,5.50035096285897
193.4971160009,degrees,5.37491988891263
201.3415936766,degrees,5.59282204657125
201.7151402326,degrees,5.60319833979309
207.5380718406,degrees,5.76494644001587
199.5727408673,degrees,5.54368724631489
223.5016937773,degrees,6.20838038270211
211.2515640736,degrees,5.86809900204474
213.1192968535,degrees,5.91998046815394
226.0176396985,degrees,6.27826776940214
223.655507065,degrees,6.21265297402875
231.9833979308,degrees,6.44398327585681
235.4881435591,degrees,6.54133732108524
236.0704367199,degrees,6.55751213110752
238.8940092166,degrees,6.63594470046083
224.8420667135,degrees,6.24561296426283
236.1363567003,degrees,6.55934324167608
223.8312936796,degrees,6.21753593554491
222.2821741386,degrees,6.17450483718375
213.1192968535,degrees,5.91998046815394
212.2843104343,degrees,5.89678640095218
206.9008453627,degrees,5.74724570451979
206.9008453627,degrees,5.74724570451979
192.9477828303,degrees,5.35966063417463
198.5509811701,degrees,5.51530503250221
184.5429853206,degrees,5.12619403668325
194.8484756005,degrees,5.4124576555681
189.3771172216,degrees,5.26047547837764
184.5649586474,degrees,5.12680440687277
179.7528000732,degrees,4.9931333353679
185.114291818,degrees,5.14206366161077
188.8058107242,degrees,5.24460585345012
206.1757255776,degrees,5.72710348826563
208.4389782403,degrees,5.78997161778619
211.8778038881,degrees,5.88549455244606
207.603991821,degrees,5.76677755058443
217.5029755547,degrees,6.04174932096316
217.8765221107,degrees,6.052125614185
231.961424604,degrees,6.44337290566729
185.1252784814,degrees,5.14236884670553
204.505752739,degrees,5.68071535386212
188.5091708121,degrees,5.2363658558916
201.8359935301,degrees,5.60655537583544
256.5385906552,degrees,7.12607196264534
266.3167210913,degrees,7.39768669698172
275.7542649617,degrees,7.65984069338054
271.4694662313,degrees,7.54081850642415
276.3255714591,degrees,7.67571031830805
269.6786400952,degrees,7.49107333597827
274.0623187964,degrees,7.6128421887875
284.3678090762,degrees,7.89910580767235
258.9996032594,degrees,7.19443342387158
291.3992736595,degrees,8.09442426831874
287.3122348704,degrees,7.98089541306803
286.6969817194,degrees,7.96380504776147
287.3122348704,degrees,7.98089541306803
283.0164494766,degrees,7.86156804101688
276.0399182104,degrees,7.6677755058443
285.9828485977,degrees,7.94396801660207
281.6321298868,degrees,7.82311471907712
293.8383129368,degrees,8.16217535935545
285.7301553392,degrees,7.93694875942259
257.9119235817,degrees,7.16422009949034
249.2544328135,degrees,6.92373424481948
244.4093142491,degrees,6.78914761803034
233.9719840083,degrees,6.49922177800836
216.041749321,degrees,6.00115970336009
185.6636249886,degrees,5.15732291634877
212.0865504929,degrees,5.8912930692465
185.4219183935,degrees,5.14999847407453
188.2345042268,degrees,5.2287362285226
176.8303476058,degrees,4.91195410016175
239.1357158116,degrees,6.64265877254555
208.4499649037,degrees,5.79027680288095
203.0664998321,degrees,5.64073610644856
194.2991424299,degrees,5.3971984008301
190.2121036409,degrees,5.28366954557939
194.3101290933,degrees,5.39750358592486
201.5833002716,degrees,5.59953611865597
209.3179113132,degrees,5.81438642536699
218.579668569,degrees,6.07165746024964
213.5148167364,degrees,5.93096713156529
205.9340189825,degrees,5.72038941618091
204.0333262123,degrees,5.66759239478744
209.5376445814,degrees,5.82049012726219
209.098178045,degrees,5.80828272347179
211.6580706198,degrees,5.87939085055086
210.1748710593,degrees,5.83819086275826
223.5236671041,degrees,6.20899075289163
216.0307626576,degrees,6.00085451826533
220.6451612903,degrees,6.12903225806452
229.0939054537,degrees,6.36371959593493
234.1587572863,degrees,6.50440992461928
235.4991302225,degrees,6.54164250618
238.90499588,degrees,6.63624988555559
229.5883053072,degrees,6.37745292519913
229.2587054048,degrees,6.36829737235633
237.4657429731,degrees,6.59627063814203
245.8375804926,degrees,6.82882168034913
256.0002441481,degrees,7.11111789300211
254.4071779534,degrees,7.06686605426191
247.265846736,degrees,6.86849574266793
259.5379497665,degrees,7.20938749351482
245.3431806391,degrees,6.81508835108493
242.805261391,degrees,6.74459059419538
227.0174260689,degrees,6.3060396130253
226.7647328104,degrees,6.29902035584582
230.9176915799,degrees,6.41438032166509
222.5898007141,degrees,6.18305001983703
229.2587054048,degrees,6.36829737235633
231.532944731,degrees,6.43147068697165
234.8948637349,degrees,6.5248573259682
233.7852107303,degrees,6.49403363139744
237.8722495193,degrees,6.60756248664815
245.5958738975,degrees,6.82210760826441
241.7175817133,degrees,6.71437726981414
253.9896847438,degrees,7.05526902066103
252.5504318369,degrees,7.01528977324748
265.4487746818,degrees,7.37357707449568
255.1872310556,degrees,7.08853419598987
260.1092562639,degrees,7.22525711844234
250.3311258278,degrees,6.95364238410596
263.1965086825,degrees,7.31101413006989
279.7094637898,degrees,7.76970732749413
249.001739555,degrees,6.91671498764
239.7619556261,degrees,6.66005432294687
251.243018891,degrees,6.97897274697104
272.9087191382,degrees,7.5807977538377
281.9397564623,degrees,7.8316599017304
253.3524582659,degrees,7.03756828516495
245.5958738975,degrees,6.82210760826441
264.6028015992,degrees,7.35007782219916
204.7474593341,degrees,5.68742942594684
254.1434980316,degrees,7.05954161198767
257.3625904111,degrees,7.14896084475234
241.8604083377,degrees,6.71834467604602
230.599078341,degrees,6.40552995391705
240.1794488357,degrees,6.67165135654775
229.1048921171,degrees,6.36402478102969
218.0742820521,degrees,6.05761894589068
222.4140140996,degrees,6.17816705832087
206.373485519,degrees,5.73259681997131
205.2198858608,degrees,5.70055238502152
204.264046144,degrees,5.6740012817774
184.5429853206,degrees,5.12619403668325
198.682821131,degrees,5.51896725363933
192.6401562548,degrees,5.35111545152135
177.6873073519,degrees,4.93575853755303
180.5548265023,degrees,5.01541184728538
192.4204229865,degrees,5.34501174962615
177.1160008545,degrees,4.91988891262551
183.1257057405,degrees,5.08682515945921
165.3932309946,degrees,4.59425641651662
150.7699819941,degrees,4.18805505539109
141.046784875,degrees,3.91796624652852
141.233558153,degrees,3.92315439313944
152.3081148717,degrees,4.23078096865749
54.0433973205,degrees,1.5012054811243
103.1757560961,degrees,2.8659932248909
92.4857325968,degrees,2.56904812768944
104.2524491104,degrees,2.89590136417737
125.9840693381,degrees,3.4995574816126
350.7272560808,degrees,9.74242378002258
303.1879634999,degrees,8.42188787499619
28.9059114353,degrees,0.802941984313486
2.2522659993,degrees,0.0625629444257942
313.1308938871,degrees,8.69808038575396
308.6703085421,degrees,8.57417523728141
311.7246009705,degrees,8.65901669362468
330.0173955504,degrees,9.16714987640004
288.5207678457,degrees,8.01446577349162
277.446211127,degrees,7.70683919797357
312.0432142094,degrees,8.66786706137272
275.4795983764,degrees,7.65221106601154
281.9067964721,degrees,7.83074434644612
283.0603961303,degrees,7.86278878139592
287.2902615436,degrees,7.98028504287851
306.3191625721,degrees,8.50886562700278
298.7163914914,degrees,8.29767754142888
282.4451429792,degrees,7.84569841608936
297.3760185553,degrees,8.26044495986816
225.7429731132,degrees,6.27063814203314
243.0579546495,degrees,6.75160985137486
260.9332560198,degrees,7.24814600054933
251.0013122959,degrees,6.97225867488632
244.1895809809,degrees,6.78304391613514
205.2198858608,degrees,5.70055238502152
217.3271889401,degrees,6.03686635944701
128.3901486251,degrees,3.56639301736503
175.9184545427,degrees,4.88662373729667
192.1237830744,degrees,5.33677175206763
120.5566576128,degrees,3.34879604480117
137.6299325541,degrees,3.82305368205817
171.7215491195,degrees,4.77004303109836
164.4044312876,degrees,4.56678975798822
148.4517960143,degrees,4.12366100039674
165.6898709067,degrees,4.60249641407514
